label,rt,acc,sub,session,run
-1.0,2.356688976287842,1.0,1.0,1.0,2.0
1.0,2.5281429290771484,1.0,1.0,1.0,2.0
-1.0,2.472429037094116,1.0,1.0,1.0,2.0
1.0,2.4805591106414795,0.0,1.0,1.0,2.0
-1.0,2.437685012817383,1.0,1.0,1.0,2.0
1.0,2.471837043762207,1.0,1.0,1.0,2.0
1.0,3.001444101333618,1.0,1.0,1.0,2.0
-1.0,2.5460870265960693,1.0,1.0,1.0,2.0
-1.0,2.699559211730957,1.0,1.0,1.0,2.0
-1.0,2.6099250316619873,1.0,1.0,1.0,2.0
1.0,2.4476490020751953,0.0,1.0,1.0,2.0
-1.0,2.440864086151123,1.0,1.0,1.0,2.0
1.0,2.445762872695923,0.0,1.0,1.0,2.0
1.0,2.3630669116973877,1.0,1.0,1.0,2.0
-1.0,2.3974950313568115,1.0,1.0,1.0,2.0
-1.0,2.4295709133148193,1.0,1.0,1.0,2.0
1.0,2.4110398292541504,1.0,1.0,1.0,2.0
-1.0,2.499455213546753,1.0,1.0,1.0,2.0
-1.0,2.306140184402466,1.0,1.0,1.0,2.0
1.0,2.4496960639953613,0.0,1.0,1.0,2.0
-1.0,2.353458881378174,1.0,1.0,1.0,2.0
-1.0,2.9761760234832764,1.0,1.0,1.0,2.0
-1.0,2.305558204650879,1.0,1.0,1.0,2.0
1.0,2.5673611164093018,1.0,1.0,1.0,2.0
-1.0,2.757145881652832,0.0,1.0,1.0,2.0
1.0,2.56972599029541,0.0,1.0,1.0,2.0
1.0,2.354569911956787,1.0,1.0,1.0,2.0
-1.0,2.3151230812072754,1.0,1.0,1.0,2.0
-1.0,2.451336145401001,1.0,1.0,1.0,2.0
-1.0,2.4268219470977783,0.0,1.0,1.0,2.0
-1.0,2.3988139629364014,1.0,1.0,1.0,2.0
-1.0,2.4069530963897705,1.0,1.0,1.0,2.0
1.0,2.5075221061706543,1.0,1.0,1.0,2.0
-1.0,2.3405089378356934,1.0,1.0,1.0,2.0
1.0,2.8033390045166016,1.0,1.0,1.0,2.0
-1.0,2.578144073486328,1.0,1.0,1.0,2.0
1.0,2.492583990097046,1.0,1.0,1.0,2.0
1.0,2.4624130725860596,1.0,1.0,1.0,2.0
-1.0,2.377268075942993,0.0,1.0,1.0,2.0
1.0,2.485373020172119,1.0,1.0,1.0,2.0
-1.0,2.4193809032440186,0.0,1.0,1.0,3.0
-1.0,2.473555088043213,1.0,1.0,1.0,3.0
1.0,2.5930898189544678,1.0,1.0,1.0,3.0
-1.0,2.897753953933716,1.0,1.0,1.0,3.0
-1.0,2.441939115524292,1.0,1.0,1.0,3.0
-1.0,2.3283870220184326,1.0,1.0,1.0,3.0
-1.0,2.079176902770996,0.0,1.0,1.0,3.0
1.0,2.367398977279663,1.0,1.0,1.0,3.0
-1.0,2.6823980808258057,0.0,1.0,1.0,3.0
-1.0,2.576917886734009,1.0,1.0,1.0,3.0
1.0,3.062619924545288,0.0,1.0,1.0,3.0
1.0,2.399097204208374,0.0,1.0,1.0,3.0
-1.0,2.4799540042877197,1.0,1.0,1.0,3.0
-1.0,2.5854198932647705,1.0,1.0,1.0,3.0
1.0,2.6010780334472656,0.0,1.0,1.0,3.0
-1.0,2.668750047683716,1.0,1.0,1.0,3.0
1.0,2.3528618812561035,0.0,1.0,1.0,3.0
-1.0,2.8342158794403076,1.0,1.0,1.0,3.0
-1.0,2.858671188354492,1.0,1.0,1.0,3.0
-1.0,2.506328821182251,1.0,1.0,1.0,3.0
-1.0,2.552042007446289,1.0,1.0,1.0,3.0
-1.0,2.561784029006958,0.0,1.0,1.0,3.0
1.0,2.596045970916748,1.0,1.0,1.0,3.0
-1.0,2.8194949626922607,1.0,1.0,1.0,3.0
1.0,2.68412709236145,1.0,1.0,1.0,3.0
-1.0,2.601625919342041,1.0,1.0,1.0,3.0
-1.0,2.5285398960113525,1.0,1.0,1.0,3.0
1.0,2.379492998123169,1.0,1.0,1.0,3.0
1.0,2.590934991836548,1.0,1.0,1.0,3.0
1.0,2.6645679473876953,0.0,1.0,1.0,3.0
-1.0,2.328644037246704,1.0,1.0,1.0,3.0
-1.0,2.4825150966644287,1.0,1.0,1.0,3.0
1.0,2.0719809532165527,1.0,1.0,1.0,3.0
1.0,2.3913841247558594,1.0,1.0,1.0,3.0
